,X_draw_graph_fa-0,X_draw_graph_fa-1
cell_1585,1019.0196426397446,14604.29027647674
cell_2278,-3302.5967139119034,-27438.56198852375
cell_236,4343.184210080016,2672.31385214189
cell_1483,1666.8972852074169,13926.391695822114
cell_1465,1042.1135603186888,13794.069715754606
cell_1926,-279.4270705847383,14144.42064377006
cell_1614,1986.4368624799556,13459.833831218803
cell_1623,0.11061997651612099,14497.176907190395
cell_225,2829.6450913061326,6822.209703456711
cell_1790,977.6456050752221,12217.414329980347
cell_1481,2014.0247133365162,10618.280032442683
cell_2097,1922.8011201619215,12575.737581157862
cell_296,4856.6872710827465,5674.454620767045
cell_1783,-344.80678093895494,13507.03449259326
cell_1527,849.6408263187295,14003.156623801377
cell_2205,-2126.6600947215948,-36571.66572276932
cell_2006,-1231.3275405279808,13298.591138187146
cell_2285,1247.0111814568002,11225.335877311003
cell_2489,1621.245490402388,13159.110330377718
cell_214,-1018.12234233703,-40717.66137403166
cell_1959,2469.6273172710803,14405.127534849102
cell_248,-2103.6548049761213,8266.794634269887
cell_113,-1056.125205999617,-40778.41850653826
cell_2635,3629.915317852049,9221.485087443682
cell_2270,3545.0036736836773,9379.326789344677
cell_2342,1241.0195380611501,12673.128924447126
cell_227,2500.3073790261406,7159.812998666009
cell_2486,1635.4720644916729,11178.589317210744
cell_1637,1061.1234045543556,12560.328203919693
cell_2155,1675.666558033102,12750.247233816855
cell_1646,2512.273291677808,14339.204891441437
cell_1921,545.2769727626084,13629.448773888695
cell_133,-4705.1536082816165,9461.95818122555
cell_1978,3524.402772298411,8920.644755894697
cell_2156,3506.4008733891824,8252.401146170847
cell_1579,871.4929132251057,12673.660928087822
cell_1499,1007.4510428150694,13963.990433797637
cell_2420,-1978.3280566277986,-40187.058934219065
cell_1803,908.8953925650214,15268.680018238638
cell_2007,1751.9175964597332,12613.426974631811
cell_2283,-235.99058913111324,12560.952769610833
cell_2556,1444.7504623420627,11352.873648074363
cell_2619,-2098.065510984547,-36541.3505866281
cell_2629,-347.19292004299484,14188.089401070472
cell_2229,380.84824269789124,14117.799434367244
cell_254,-4396.289228519111,10907.856718366982
cell_2317,1992.7073689329252,12737.228746247913
cell_175,968.9840987178584,6260.310689157639
cell_269,-3117.443762786051,-30184.498532611993
cell_2101,-2246.8254170583114,-35765.66238412893
cell_2271,673.2070829447637,14619.469453459076
cell_1728,3107.016784367303,13834.90684877893
cell_1822,-2340.2523352016806,-35857.88594799411
